customer_id,age,city,income,score,purchases,purchased
C1176,51.0,Colombo,60128.0,0.728,2.0,0
C1132,22.0,Galle,94989.0,0.387,4.0,0
C1006,,Jaffna,81217.0,0.751,0.0,0
C1084,47.0,COLOMBO,103321.0,0.575,6.0,1
C1456,,Galle,58237.0,0.798,8.0,1
C1311,49.0,Colombo,79461.0,0.676,7.0,0
C1333,57.0, Colombo ,128793.0,0.554,5.0,false
C1072,39.0,Colombo,86247.0,0.549,3.0,0
C1184,41.0,Colombo ,61311.0,0.515,4.0,0
C1154,38.0,Negombo,33377.0,0.616,8.0,0
C1229,26.0,Kandy,18000.0,0.513,3.0,0
C1304,43.0,Colombo,28625.0,0.544,10.0,false
C1093,36.0,Kandy,63913.0,0.693,1.0,1
C1101,27.0,Colombo,106631.0,0.519,2.0,false
C1010,42.0,Colombo, 84852 ,0.521,0.0,1
C1448,42.0,Galle,65942.0,0.671,1.0,0
C1079,49.0,Colombo,75856.0,0.446,1.0,0
C1030,39.0,Colombo,75252.0,0.794,8.0,0
C1185,38.0,Colombo,120327.0,0.745,11.0,0
C1137,,negombo,84349.0,0.529,11.0,0
C1195,22.0,GALLE,100465.0,47%,6.0,0
C1082,25.0,Gale,82581.0,0.731,7.0,1
C1158,41.0,Colombo,72725.0,,11.0,1
C1375,22.0,Kandy,101978.0,0.701,11.0,0
C1231,58.0,Colombo,LKR 84939,0.712,6.0,0
C1298,,Galle,67590.0,0.563,7.0,0
C1077,28.0,Kandy,98303.0,0.501,7.0,False
C1384,150.0,Colombo,50859.0,56%,2.0,0
C1489,46.0,Kandy,81545.0,0.59,1.0,0
C1408,61.0,Kandy,,0.688,2.0,True
C1484,39.0,Colombo,60688.0,0.663,4.0,1
C1398,31.0,Gale,82745.0,68%,7.0,1
C1329,44.0,Colombo,84625.0,0.691,8.0,0
C1009,22.0,Kandy,50370.0,0.722,0.0,YES
C1073,24.0,Kandy,"83,608",0.237,7.0,0
C1487,42.0,Colombo,55651.0,0.667,5.0,0
C1192,46.0,Galle,87223.0,0.338,8.0,0
C1247,37.0, Galle ,58672.0,0.375,1.0,0
C1078,150.0,Galle,97568.0,0.412,11.0,0
C1355,64.0, Galle ,79989.0,0.393,2.0,0
C9007,0.0,JAFFNA,52826.0,0.769,9.0,1
C1055,20.0,Kandy,79462.0,,9.0,0
C1479,23.0,Kandy,51718.0,0.657,11.0,0
C1140,64.0,Galle,53396.0,0.552,7.0,0
C1225,32.0,Colombo,,0.672,9.0,0
C1414,18.0,Colombo,71371.0,0.671,6.0,0
C9005,18.0,Colombo ,28856.0,0.814,10.0,0
C1227,45.0,Kandy,18000.0,,3.0,0
C1495,,Kandy,44684.0,0.643,0.0,0
C1270,31.0,JAFFNA,94152.0,0.509,8.0,0
C1486,33.0,Colombo, 59329 ,0.538,8.0,0
C1063,63.0,Colombo,94673.0,0.763,10.0,0
C1440,63.0,Colombo,,0.98,9.0,0
C1424,37.0,Kandy,75320.0,0.351,4.0,0
C1287,44.0,Colombo,66753.0,0.612,5.0,0
